id,Mecaniques
224517,Hand Management
224517,Income
224517,Loans
224517,Market
224517,Network and Route Building
224517,Tags
224517,Tech Trees / Tech Tracks
224517,Turn Order: Stat-Based
224517,Variable Set-up
161936,Action Points
161936,Cooperative Game
161936,Hand Management
161936,Legacy Game
161936,Point to Point Movement
161936,Scenario / Mission / Campaign Game
161936,Set Collection
161936,Tags
161936,Trading
161936,Variable Player Powers
342942,Action Queue
342942,End Game Bonuses
342942,Grid Coverage
342942,Hand Management
342942,Hexagon Grid
342942,Income
342942,Increase Value of Unchosen Resources
342942,Open Drafting
342942,Set Collection
342942,Solo / Solitaire Game
342942,Tags
342942,Tile Placement
342942,Variable Player Powers
342942,Variable Set-up
174430,Action Queue
174430,Action Retrieval
174430,Campaign / Battle Card Driven
174430,Card Play Conflict Resolution
174430,Communication Limits
174430,Cooperative Game
174430,Critical Hits and Failures
174430,Deck Construction
174430,Grid Movement
174430,Hand Management
174430,Hexagon Grid
174430,Legacy Game
174430,Line of Sight
174430,Modular Board
174430,Multi-Use Cards
174430,Narrative Choice / Paragraph
174430,Once-Per-Game Abilities
174430,Role Playing
174430,Scenario / Mission / Campaign Game
174430,Simultaneous Action Selection
174430,Solo / Solitaire Game
174430,Storytelling
174430,Tags
174430,Variable Player Powers
233078,Action Drafting
233078,Area-Impulse
233078,Dice Rolling
233078,Follow
233078,Grid Movement
233078,Hexagon Grid
233078,Increase Value of Unchosen Resources
233078,King of the Hill
233078,Modular Board
233078,Movement Points
233078,Race
233078,Tech Trees / Tech Tracks
233078,Trading
233078,Variable Phase Order
233078,Variable Player Powers
233078,Variable Set-up
233078,Voting
316554,Card Play Conflict Resolution
316554,Deck
316554,Bag
316554,and Pool Building
316554,Delayed Purchase
316554,Force Commitment
316554,Increase Value of Unchosen Resources
316554,Multi-Use Cards
316554,Open Drafting
316554,Race
316554,Solo / Solitaire Game
316554,Tags
316554,Take That
316554,Turn Order: Progressive
316554,Variable Player Powers
316554,Worker Placement
167791,Closed Drafting
167791,Contracts
167791,End Game Bonuses
167791,Hand Management
167791,Hexagon Grid
167791,Income
167791,Set Collection
167791,Solo / Solitaire Game
167791,Tags
167791,Take That
167791,Tech Trees / Tech Tracks
167791,Tile Placement
167791,Turn Order: Progressive
167791,Variable Player Powers
167791,Variable Set-up
167791,Victory Points as a Resource
115746,Action Drafting
115746,Area Majority / Influence
115746,Area Movement
115746,Campaign / Battle Card Driven
115746,Card Play Conflict Resolution
