id,Categories
68448,Ancient
68448,Card Game
68448,City Building
68448,Civilization
68448,Economic
121921,Adventure
121921,Exploration
121921,Fighting
121921,Novel-based
121921,Territory Building
279537,Deduction
279537,Puzzle
279537,Space Exploration
171623,Dice
171623,Economic
171623,Medieval
171623,Travel
380607,Animals
380607,Economic
225694,Deduction
225694,Party Game
225694,Spies / Secret Agents
225694,Word Game
277659,Card Game
277659,Horror
155821,Ancient
155821,Card Game
155821,Exploration
155821,Mythology
155821,Wargame
364073,Card Game
364073,Economic
364073,Renaissance
37111,Bluffing
37111,Deduction
37111,Movies / TV / Radio theme
37111,Political
37111,Science Fiction
37111,Space Exploration
37111,Spies / Secret Agents
163068,Post-Napoleonic
264220,Adventure
264220,Exploration
264220,Fantasy
264220,Mature / Adult
264220,Medieval
264220,Miniatures
264220,Mythology
264220,Travel
240980,Bluffing
240980,Deduction
240980,Horror
240980,Murder / Mystery
240980,Party Game
236457,City Building
236457,Medieval
310873,Economic
310873,Industry / Manufacturing
310873,Post-Napoleonic
271055,Fantasy
122515,City Building
122515,Economic
122515,Renaissance
122515,Territory Building
122515,Transportation
217372,Adventure
217372,Exploration
170042,Medieval
170042,Nautical
42,Abstract Strategy
42,Ancient
42,Civilization
42,Territory Building
40834,Card Game
40834,Medieval
18602,City Building
18602,Economic
18602,Medieval
337627,Civilization
337627,Economic
337627,Science Fiction
337627,Space Exploration
73439,Dice
73439,Economic
73439,Medieval
146021,Adventure
146021,Fighting
146021,Horror
146021,Novel-based
146021,Travel
203993,Renaissance
172386,Economic
172386,Post-Napoleonic
12,Ancient
12,Mythology
269385,Adventure
269385,Exploration
269385,Fantasy
269385,Fighting
269385,Miniatures
269385,Novel-based
359871,Science Fiction
359871,Space Exploration
359871,Wargame
310100,Adventure
310100,Exploration
310100,Horror
310100,Miniatures
310100,Science Fiction
12493,Civilization
12493,Negotiation
12493,Political
12493,Science Fiction
12493,Space Exploration
12493,Wargame
163412,Abstract Strategy
163412,Economic
163412,Puzzle
102680,Ancient
102680,Political
36218,Card Game
36218,Medieval
4098,Economic
4098,Post-Napoleonic
4098,Trains
4098,Transportation
144733,Industry / Manufacturing
144733,Trains
218417,Card Game
218417,Fantasy
218417,Fighting
218417,Science Fiction
180263,Adventure
180263,Card Game
180263,Exploration
180263,Science Fiction
43015,Medieval
205896,Bluffing
205896,Fantasy
205896,Miniatures
205896,Mythology
205896,Negotiation
205896,Wargame
227935,Fantasy
175640,Economic
175640,Industry / Manufacturing
418059,Science Fiction
418059,Space Exploration
196340,Economic
233371,Science Fiction
198928,Medical
198928,Post-Napoleonic
198928,Trains
175155,Bluffing
175155,Fighting
175155,Miniatures
175155,Science Fiction
175155,Wargame
178900,Card Game
178900,Deduction
178900,Party Game
178900,Spies / Secret Agents
178900,Word Game
410201,Animals
410201,Card Game
410201,Fantasy
254640,Party Game
254640,Word Game
172287,Adventure
172287,Dice
172287,Fantasy
172287,Fighting
172287,Medieval
172287,Mythology
266524,Animals
266524,Economic
266524,Environmental
266524,Travel
132531,Civilization
132531,Dice
132531,Economic
132531,Science Fiction
132531,Space Exploration
220877,Dice
220877,Economic
220877,Renaissance
220877,Territory Building
30549,Medical
118048,Arabian
118048,Card Game
325494,Adventure
325494,Exploration
325494,Miniatures
325494,Science Fiction
325494,Space Exploration
304783,Ancient
304783,City Building
263918,Fantasy
263918,Territory Building
262712,Card Game
262712,Fantasy
281259,Animals
281259,Fantasy
281259,Nautical
281259,Puzzle
189932,Fantasy
189932,Fighting
147020,Card Game
147020,Fighting
147020,Science Fiction
463,Card Game
463,Collectible Components
463,Fantasy
463,Fighting
274364,Card Game
274364,Political
161970,Deduction
161970,Fantasy
161970,Puzzle
271324,Card Game
271324,Civilization
271324,Economic
271324,Science Fiction
396790,Economic
396790,Industry / Manufacturing
396790,Science Fiction
14996,Trains
268864,Wargame
268864,World War II
235802,Adventure
235802,Dice
235802,Fantasy
235802,Fighting
77423,Adventure
77423,Card Game
77423,Collectible Components
77423,Fantasy
